00000180) perceptual - 104.76344; gen_gan - 0.55817; feature_matching - 4.44632; equivariance_value - 0.52500; equivariance_jacobian - 0.69271; kp_distance - 2.15280; verilight - 0.70701; disc_gan - 0.30211
00000181) perceptual - 103.65697; gen_gan - 0.56157; feature_matching - 4.41500; equivariance_value - 0.51465; equivariance_jacobian - 0.70884; kp_distance - 2.07577; verilight - 0.72777; disc_gan - 0.28912
00000182) perceptual - 104.04382; gen_gan - 0.53448; feature_matching - 4.39962; equivariance_value - 0.50629; equivariance_jacobian - 0.67913; kp_distance - 2.05206; verilight - 0.78254; disc_gan - 0.29835
00000183) perceptual - 102.93531; gen_gan - 0.55004; feature_matching - 4.36152; equivariance_value - 0.51044; equivariance_jacobian - 0.69133; kp_distance - 2.13291; verilight - 0.78061; disc_gan - 0.29938
00000184) perceptual - 100.46171; gen_gan - 0.54949; feature_matching - 4.26756; equivariance_value - 0.50365; equivariance_jacobian - 0.67818; kp_distance - 2.14349; verilight - 0.78947; disc_gan - 0.30214
00000185) perceptual - 101.51619; gen_gan - 0.55230; feature_matching - 4.32740; equivariance_value - 0.49599; equivariance_jacobian - 0.67848; kp_distance - 2.15534; verilight - 0.73922; disc_gan - 0.30680
00000186) perceptual - 103.52062; gen_gan - 0.54991; feature_matching - 4.35532; equivariance_value - 0.48729; equivariance_jacobian - 0.67369; kp_distance - 2.14095; verilight - 0.82497; disc_gan - 0.30543
00000187) perceptual - 101.44358; gen_gan - 0.54224; feature_matching - 4.29469; equivariance_value - 0.45282; equivariance_jacobian - 0.64692; kp_distance - 2.07323; verilight - 0.71591; disc_gan - 0.31787
00000188) perceptual - 101.87627; gen_gan - 0.54468; feature_matching - 4.32582; equivariance_value - 0.47056; equivariance_jacobian - 0.66190; kp_distance - 2.09566; verilight - 0.79685; disc_gan - 0.29271
00000189) perceptual - 100.19568; gen_gan - 0.53431; feature_matching - 4.28226; equivariance_value - 0.46057; equivariance_jacobian - 0.65393; kp_distance - 2.09312; verilight - 0.80556; disc_gan - 0.29994
00000190) perceptual - 99.17471; gen_gan - 0.53017; feature_matching - 4.28064; equivariance_value - 0.44345; equivariance_jacobian - 0.63036; kp_distance - 2.12360; verilight - 0.71913; disc_gan - 0.30030
00000191) perceptual - 101.30137; gen_gan - 0.54728; feature_matching - 4.28233; equivariance_value - 0.43839; equivariance_jacobian - 0.62290; kp_distance - 2.13037; verilight - 0.82358; disc_gan - 0.31623
00000192) perceptual - 103.25079; gen_gan - 0.56470; feature_matching - 4.39808; equivariance_value - 0.46675; equivariance_jacobian - 0.66131; kp_distance - 2.24677; verilight - 0.85288; disc_gan - 0.28019
00000193) perceptual - 101.92271; gen_gan - 0.57451; feature_matching - 4.36658; equivariance_value - 0.44594; equivariance_jacobian - 0.62784; kp_distance - 2.27767; verilight - 0.74135; disc_gan - 0.29873
00000194) perceptual - 101.35062; gen_gan - 0.55541; feature_matching - 4.31486; equivariance_value - 0.43523; equivariance_jacobian - 0.62945; kp_distance - 2.27513; verilight - 0.72387; disc_gan - 0.29178
00000195) perceptual - 102.45442; gen_gan - 0.55815; feature_matching - 4.30990; equivariance_value - 0.43094; equivariance_jacobian - 0.63806; kp_distance - 2.24381; verilight - 0.82825; disc_gan - 0.30348
00000196) perceptual - 97.48177; gen_gan - 0.52694; feature_matching - 4.18922; equivariance_value - 0.44230; equivariance_jacobian - 0.63107; kp_distance - 2.24889; verilight - 0.73736; disc_gan - 0.31654
00000197) perceptual - 106.19101; gen_gan - 0.56325; feature_matching - 4.48846; equivariance_value - 0.45538; equivariance_jacobian - 0.64086; kp_distance - 2.19852; verilight - 0.78108; disc_gan - 0.28545
00000198) perceptual - 101.01760; gen_gan - 0.55039; feature_matching - 4.29614; equivariance_value - 0.47090; equivariance_jacobian - 0.65482; kp_distance - 2.19048; verilight - 0.75855; disc_gan - 0.28476
00000199) perceptual - 98.21454; gen_gan - 0.53479; feature_matching - 4.19073; equivariance_value - 0.42427; equivariance_jacobian - 0.62593; kp_distance - 2.32000; verilight - 0.74309; disc_gan - 0.31670
00000200) perceptual - 100.03912; gen_gan - 0.54012; feature_matching - 4.25697; equivariance_value - 0.44409; equivariance_jacobian - 0.62447; kp_distance - 2.29545; verilight - 0.73847; disc_gan - 0.31432
00000201) perceptual - 101.03680; gen_gan - 0.54689; feature_matching - 4.31269; equivariance_value - 0.42367; equivariance_jacobian - 0.61246; kp_distance - 2.26794; verilight - 0.85503; disc_gan - 0.29962
00000202) perceptual - 101.81409; gen_gan - 0.56810; feature_matching - 4.32924; equivariance_value - 0.39892; equivariance_jacobian - 0.60875; kp_distance - 2.22857; verilight - 0.81551; disc_gan - 0.29424
00000203) perceptual - 99.18822; gen_gan - 0.53959; feature_matching - 4.24121; equivariance_value - 0.41267; equivariance_jacobian - 0.60591; kp_distance - 2.24212; verilight - 0.80560; disc_gan - 0.29060
00000204) perceptual - 96.48344; gen_gan - 0.53206; feature_matching - 4.17925; equivariance_value - 0.41699; equivariance_jacobian - 0.61826; kp_distance - 2.16931; verilight - 0.75586; disc_gan - 0.31471
